conceptid,Value,ValueType,Provider 
FEATURE_EVIDENCE_SHAPE_TYPE:1,001,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:2,002,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:3,003,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:4,004,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:5,005,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:6,006,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:7,007,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:8,008,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:9,009,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:10,010,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:11,011,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:12,012,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:13,013,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:14,014,sortorder,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE:15,015,sortorder,Eamena
