conceptid,Value,Valuetype,Provider 
DISTURBANCE_TYPE:1,1,sortorder,GCI
DISTURBANCE_TYPE:2,2,sortorder,GCI
DISTURBANCE_TYPE:3,3,sortorder,GCI
DISTURBANCE_TYPE:4,4,sortorder,GCI
DISTURBANCE_TYPE:5,5,sortorder,GCI
DISTURBANCE_TYPE:6,6,sortorder,GCI
DISTURBANCE_TYPE:7,7,sortorder,GCI
DISTURBANCE_TYPE:8,8,sortorder,GCI
DISTURBANCE_TYPE:9,9,sortorder,GCI
DISTURBANCE_TYPE:10,10,sortorder,GCI
DISTURBANCE_TYPE:11,11,sortorder,GCI
DISTURBANCE_TYPE:12,12,sortorder,GCI
DISTURBANCE_TYPE:13,13,sortorder,GCI
DISTURBANCE_TYPE:14,14,sortorder,GCI
DISTURBANCE_TYPE:15,15,sortorder,GCI
DISTURBANCE_TYPE:16,16,sortorder,GCI
DISTURBANCE_TYPE:17,17,sortorder,GCI
DISTURBANCE_TYPE:18,18,sortorder,GCI
DISTURBANCE_TYPE:19,19,sortorder,GCI
DISTURBANCE_TYPE:20,20,sortorder,GCI
