conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
PLACE_TOPOGRAPHY_TYPE:1,Unknown,Unknown,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:2,Alluvial Fan,Alluvial Fan,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:3,Lake Bed,Lake Bed,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:4,Lake Shore,Lake Shore,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:5,Ocean/Sea Bed,Ocean/Sea Bed,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:6,Ocean/Sea Shore,Ocean/Sea Shore,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:7,Plain/Plateau,Plain/Plateau,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:8,Precipice/Edge,Precipice/Edge,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:9,Slopes,Slopes,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:10,Summit,Summit,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:11,Valley Bed,Valley Bed,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:12,Valley Terrace,Valley Terrace,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:13,Watercourse Banks,Watercourse Banks,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
PLACE_TOPOGRAPHY_TYPE:14,Watercourse Bed,Watercourse Bed,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Index,Eamena
