conceptid,Value,ValueType,Provider 
FROM:001,1,sortorder,Eamena
FROM:002,2,sortorder,Eamena
FROM:003,3,sortorder,Eamena
FROM:004,4,sortorder,Eamena
FROM:005,5,sortorder,Eamena
FROM:006,6,sortorder,Eamena
FROM:007,7,sortorder,Eamena
FROM:008,8,sortorder,Eamena
FROM:009,9,sortorder,Eamena
FROM:010,10,sortorder,Eamena
FROM:011,11,sortorder,Eamena
FROM:012,12,sortorder,Eamena
FROM:013,13,sortorder,Eamena
FROM:014,14,sortorder,Eamena
FROM:015,15,sortorder,Eamena
FROM:016,16,sortorder,Eamena
FROM:017,17,sortorder,Eamena
FROM:018,18,sortorder,Eamena
FROM:019,19,sortorder,Eamena
FROM:020,20,sortorder,Eamena
FROM:021,21,sortorder,Eamena
FROM:022,22,sortorder,Eamena
FROM:023,23,sortorder,Eamena
FROM:024,24,sortorder,Eamena
FROM:025,25,sortorder,Eamena
FROM:026,26,sortorder,Eamena
FROM:027,27,sortorder,Eamena
FROM:028,28,sortorder,Eamena
FROM:029,29,sortorder,Eamena
FROM:030,30,sortorder,Eamena
FROM:031,31,sortorder,Eamena
FROM:032,32,sortorder,Eamena
FROM:033,33,sortorder,Eamena
FROM:034,34,sortorder,Eamena
FROM:035,35,sortorder,Eamena
FROM:036,36,sortorder,Eamena
FROM:037,37,sortorder,Eamena
FROM:038,38,sortorder,Eamena
FROM:039,39,sortorder,Eamena
FROM:040,40,sortorder,Eamena
FROM:041,41,sortorder,Eamena
FROM:042,42,sortorder,Eamena
FROM:043,43,sortorder,Eamena
FROM:044,44,sortorder,Eamena
FROM:045,45,sortorder,Eamena
FROM:046,46,sortorder,Eamena
FROM:047,47,sortorder,Eamena
FROM:048,48,sortorder,Eamena
FROM:049,49,sortorder,Eamena
FROM:050,50,sortorder,Eamena
FROM:051,51,sortorder,Eamena
FROM:052,52,sortorder,Eamena
FROM:053,53,sortorder,Eamena
FROM:054,54,sortorder,Eamena
FROM:055,55,sortorder,Eamena
FROM:056,56,sortorder,Eamena
FROM:057,57,sortorder,Eamena
FROM:058,58,sortorder,Eamena
FROM:059,59,sortorder,Eamena
FROM:060,60,sortorder,Eamena
FROM:061,61,sortorder,Eamena
FROM:062,62,sortorder,Eamena
FROM:063,63,sortorder,Eamena
FROM:064,64,sortorder,Eamena
FROM:065,65,sortorder,Eamena
FROM:066,66,sortorder,Eamena
FROM:067,67,sortorder,Eamena
FROM:068,68,sortorder,Eamena
FROM:069,69,sortorder,Eamena
FROM:070,70,sortorder,Eamena
FROM:071,71,sortorder,Eamena
FROM:072,72,sortorder,Eamena
FROM:073,73,sortorder,Eamena
FROM:074,74,sortorder,Eamena
FROM:075,75,sortorder,Eamena
FROM:076,76,sortorder,Eamena
FROM:077,77,sortorder,Eamena
FROM:078,78,sortorder,Eamena
FROM:079,79,sortorder,Eamena
FROM:080,80,sortorder,Eamena
FROM:081,81,sortorder,Eamena
FROM:082,82,sortorder,Eamena
FROM:083,83,sortorder,Eamena
FROM:084,84,sortorder,Eamena
FROM:085,85,sortorder,Eamena
FROM:086,86,sortorder,Eamena
FROM:087,87,sortorder,Eamena
FROM:088,88,sortorder,Eamena
FROM:089,89,sortorder,Eamena
FROM:090,90,sortorder,Eamena
FROM:091,91,sortorder,Eamena
FROM:092,92,sortorder,Eamena
FROM:093,93,sortorder,Eamena
FROM:094,94,sortorder,Eamena
FROM:095,95,sortorder,Eamena
FROM:096,96,sortorder,Eamena
FROM:097,97,sortorder,Eamena
FROM:098,98,sortorder,Eamena
FROM:099,99,sortorder,Eamena
FROM:100,100,sortorder,Eamena
FROM:101,101,sortorder,Eamena
FROM:102,102,sortorder,Eamena
FROM:103,103,sortorder,Eamena
FROM:104,104,sortorder,Eamena
FROM:105,105,sortorder,Eamena
FROM:106,106,sortorder,Eamena
FROM:107,107,sortorder,Eamena
FROM:108,108,sortorder,Eamena
FROM:109,109,sortorder,Eamena
FROM:110,110,sortorder,Eamena
FROM:111,111,sortorder,Eamena
FROM:112,112,sortorder,Eamena
FROM:113,113,sortorder,Eamena
FROM:114,114,sortorder,Eamena
FROM:115,115,sortorder,Eamena
FROM:116,116,sortorder,Eamena
FROM:117,117,sortorder,Eamena
FROM:118,118,sortorder,Eamena
FROM:119,119,sortorder,Eamena
FROM:120,120,sortorder,Eamena
FROM:121,121,sortorder,Eamena
FROM:122,122,sortorder,Eamena
FROM:123,123,sortorder,Eamena
FROM:124,124,sortorder,Eamena
FROM:125,125,sortorder,Eamena
FROM:126,126,sortorder,Eamena
FROM:127,127,sortorder,Eamena
FROM:128,128,sortorder,Eamena
FROM:129,129,sortorder,Eamena
FROM:130,130,sortorder,Eamena
FROM:131,131,sortorder,Eamena
FROM:132,132,sortorder,Eamena
FROM:133,133,sortorder,Eamena
FROM:134,134,sortorder,Eamena
FROM:135,135,sortorder,Eamena
FROM:136,136,sortorder,Eamena
FROM:137,137,sortorder,Eamena
FROM:138,138,sortorder,Eamena
FROM:139,139,sortorder,Eamena
FROM:140,140,sortorder,Eamena
FROM:141,141,sortorder,Eamena
FROM:142,142,sortorder,Eamena
FROM:143,143,sortorder,Eamena
FROM:144,144,sortorder,Eamena
FROM:145,145,sortorder,Eamena
FROM:146,146,sortorder,Eamena
FROM:147,147,sortorder,Eamena
FROM:148,148,sortorder,Eamena
FROM:149,149,sortorder,Eamena
FROM:150,150,sortorder,Eamena
FROM:151,151,sortorder,Eamena
FROM:152,152,sortorder,Eamena
FROM:153,153,sortorder,Eamena
FROM:154,154,sortorder,Eamena
FROM:155,155,sortorder,Eamena
FROM:156,156,sortorder,Eamena
FROM:157,157,sortorder,Eamena
FROM:158,158,sortorder,Eamena
FROM:159,159,sortorder,Eamena
FROM:160,160,sortorder,Eamena
FROM:161,161,sortorder,Eamena
FROM:162,162,sortorder,Eamena
FROM:163,163,sortorder,Eamena
FROM:164,164,sortorder,Eamena
FROM:165,165,sortorder,Eamena
FROM:166,166,sortorder,Eamena
FROM:167,167,sortorder,Eamena
FROM:168,168,sortorder,Eamena
FROM:169,169,sortorder,Eamena
FROM:170,170,sortorder,Eamena
FROM:171,171,sortorder,Eamena
FROM:172,172,sortorder,Eamena
FROM:173,173,sortorder,Eamena
FROM:174,174,sortorder,Eamena
FROM:175,175,sortorder,Eamena
FROM:176,176,sortorder,Eamena
FROM:177,177,sortorder,Eamena
FROM:178,178,sortorder,Eamena
FROM:179,179,sortorder,Eamena
FROM:180,180,sortorder,Eamena
FROM:181,181,sortorder,Eamena
FROM:182,182,sortorder,Eamena
FROM:183,183,sortorder,Eamena
FROM:184,184,sortorder,Eamena
FROM:185,185,sortorder,Eamena
FROM:186,186,sortorder,Eamena
FROM:187,187,sortorder,Eamena
FROM:188,188,sortorder,Eamena
FROM:189,189,sortorder,Eamena
FROM:190,190,sortorder,Eamena
FROM:191,191,sortorder,Eamena
FROM:192,192,sortorder,Eamena
FROM:193,193,sortorder,Eamena
FROM:194,194,sortorder,Eamena
FROM:195,195,sortorder,Eamena
FROM:196,196,sortorder,Eamena
FROM:197,197,sortorder,Eamena
FROM:198,198,sortorder,Eamena
FROM:199,199,sortorder,Eamena
FROM:200,200,sortorder,Eamena
FROM:201,201,sortorder,Eamena
FROM:202,202,sortorder,Eamena
FROM:203,203,sortorder,Eamena
FROM:204,204,sortorder,Eamena
FROM:205,205,sortorder,Eamena
FROM:206,206,sortorder,Eamena
FROM:207,207,sortorder,Eamena
FROM:208,208,sortorder,Eamena
FROM:209,209,sortorder,Eamena
FROM:210,210,sortorder,Eamena
FROM:211,211,sortorder,Eamena
FROM:212,212,sortorder,Eamena
FROM:213,213,sortorder,Eamena
FROM:214,214,sortorder,Eamena
FROM:215,215,sortorder,Eamena
FROM:216,216,sortorder,Eamena
FROM:217,217,sortorder,Eamena
FROM:218,218,sortorder,Eamena
FROM:219,219,sortorder,Eamena
FROM:220,220,sortorder,Eamena
FROM:221,221,sortorder,Eamena
FROM:222,222,sortorder,Eamena
FROM:223,223,sortorder,Eamena
FROM:224,224,sortorder,Eamena
FROM:225,225,sortorder,Eamena
FROM:226,226,sortorder,Eamena
FROM:227,227,sortorder,Eamena
FROM:228,228,sortorder,Eamena
FROM:229,229,sortorder,Eamena
FROM:230,230,sortorder,Eamena
FROM:231,231,sortorder,Eamena
FROM:232,232,sortorder,Eamena
FROM:233,233,sortorder,Eamena
FROM:234,234,sortorder,Eamena
FROM:235,235,sortorder,Eamena
FROM:236,236,sortorder,Eamena
FROM:237,237,sortorder,Eamena
